Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
invy,cypher,(3) 23%,65,1.04,227.0,1.08,158.0,66%,0.83,0.12,0.05,0.11,54,50,8,3,7
invy,breach,(3) 23%,64,1.27,227.0,1.22,142.2,78%,0.86,0.52,0.13,0.05,55,45,33,8,3
invy,vyse,(3) 23%,59,1.50,261.0,1.81,176.9,75%,0.95,0.37,0.05,0.03,56,31,22,3,2
invy,kayo,(2) 15%,45,1.35,253.5,1.26,164.2,80%,0.87,0.53,0.16,0.07,39,31,24,7,3
invy,omen,(2) 15%,38,1.13,216.0,1.10,151.0,66%,0.84,0.21,0.05,0.08,32,29,8,2,3
Jinggg,raze,(7) 37%,130,1.38,268.1,1.54,173.7,76%,0.98,0.20,0.09,0.08,128,83,26,12,10
Jinggg,omen,(6) 32%,127,1.07,187.7,1.05,127.4,76%,0.66,0.43,0.07,0.07,84,80,55,9,9
Jinggg,phoenix,(2) 11%,51,1.17,224.0,1.27,142.6,78%,0.82,0.24,0.16,0.14,42,33,12,8,7
Jinggg,brimstone,(2) 11%,41,1.70,329.0,1.68,212.4,90%,1.15,0.61,0.17,0.02,47,28,25,7,1
Jinggg,tejo,(2) 11%,40,0.98,197.0,0.90,130.0,63%,0.70,0.33,0.05,0.05,28,31,13,2,2
HYUNMIN,jett,(11) 34%,222,1.17,243.3,1.30,157.1,70%,0.91,0.08,0.16,0.12,201,155,17,36,26
HYUNMIN,raze,(9) 28%,204,1.09,239.4,1.17,156.5,73%,0.86,0.11,0.19,0.11,175,149,23,39,23
HYUNMIN,yoru,(9) 28%,193,0.97,218.0,0.96,139.7,73%,0.77,0.23,0.18,0.14,149,155,44,34,27
HYUNMIN,neon,(3) 9%,76,1.01,227.0,1.07,142.6,78%,0.82,0.26,0.21,0.20,62,58,20,16,15
MaKo,omen,(16) 50%,348,1.08,192.5,1.08,126.1,77%,0.67,0.43,0.08,0.09,232,215,151,28,30
MaKo,brimstone,(7) 22%,169,1.10,217.0,1.03,145.2,76%,0.73,0.56,0.08,0.08,123,119,94,13,13
MaKo,viper,(7) 22%,145,1.00,195.6,1.03,126.2,68%,0.68,0.21,0.12,0.14,98,95,31,18,20
MaKo,astra,(2) 6%,33,1.19,191.0,1.22,135.3,79%,0.67,0.61,0.03,0.03,22,18,20,1,1
Foxy9,killjoy,(9) 53%,171,1.04,185.6,1.18,122.8,73%,0.70,0.11,0.12,0.11,119,101,19,20,18
Foxy9,cypher,(3) 18%,71,0.89,171.3,0.88,111.6,77%,0.59,0.35,0.07,0.06,42,48,25,5,4
Foxy9,vyse,(2) 12%,36,1.65,295.5,2.35,200.0,94%,1.11,0.28,0.11,0.03,40,17,10,4,1
Foxy9,gekko,(1) 6%,23,0.82,162.0,0.87,100.7,74%,0.57,0.13,0.04,0.04,13,15,3,1,1
Foxy9,viper,(1) 6%,23,1.23,233.0,1.27,161.3,78%,0.83,0.22,0.04,0.09,19,15,5,1,2
Foxy9,deadlock,(1) 6%,21,1.20,268.0,1.24,151.8,90%,1.00,0.24,0.29,0.00,21,17,5,6,0
Jemkin,yoru,(11) 69%,227,1.23,255.5,1.34,161.1,71%,0.91,0.15,0.25,0.17,206,154,34,56,39
Jemkin,iso,(2) 13%,50,1.03,245.5,1.10,152.6,70%,0.88,0.10,0.22,0.12,44,40,5,11,6
Jemkin,jett,(2) 13%,40,1.40,283.0,1.52,173.6,73%,1.03,0.03,0.28,0.13,41,27,1,11,5
Jemkin,brimstone,(1) 6%,24,0.91,171.0,0.82,126.4,75%,0.58,0.29,0.08,0.04,14,17,7,2,1
dos9,omen,(10) 63%,210,1.25,226.9,1.27,145.8,75%,0.84,0.44,0.10,0.07,177,139,92,20,14
dos9,brimstone,(3) 19%,64,1.29,240.3,1.27,152.7,80%,0.88,0.50,0.13,0.08,56,44,32,8,5
dos9,iso,(1) 6%,26,0.55,115.0,0.47,88.2,62%,0.35,0.31,0.04,0.15,9,19,8,1,4
dos9,astra,(1) 6%,23,0.99,112.0,0.64,77.0,78%,0.30,0.74,0.04,0.00,7,11,17,1,0
dos9,viper,(1) 6%,21,1.31,178.0,1.33,117.0,76%,0.57,0.52,0.00,0.05,12,9,11,0,1
Flashback,cypher,(8) 42%,172,1.03,187.3,1.06,133.3,74%,0.70,0.19,0.09,0.09,120,113,33,16,15
Flashback,vyse,(3) 16%,60,1.02,191.3,1.03,118.5,73%,0.68,0.30,0.10,0.05,41,40,18,6,3
Flashback,yoru,(3) 16%,52,1.20,215.7,1.65,134.4,81%,0.83,0.15,0.21,0.06,43,26,8,11,3
Flashback,viper,(2) 11%,45,1.01,199.0,0.97,134.1,73%,0.71,0.22,0.04,0.07,32,33,10,2,3
Flashback,neon,(2) 11%,45,1.20,259.0,1.31,173.2,78%,0.93,0.20,0.22,0.11,42,32,9,10,5
Flashback,killjoy,(1) 5%,23,0.78,166.0,0.75,106.9,65%,0.52,0.04,0.09,0.00,12,16,1,2,0
primmie,yoru,(7) 35%,133,1.20,243.9,1.31,152.1,74%,0.89,0.13,0.19,0.11,119,91,17,25,15
primmie,jett,(5) 25%,100,0.98,209.6,1.05,139.3,67%,0.77,0.12,0.18,0.20,77,73,12,18,20
primmie,waylay,(5) 25%,98,1.22,236.0,1.39,151.6,69%,0.88,0.09,0.08,0.09,86,62,9,8,9
primmie,iso,(2) 10%,40,0.88,230.0,0.94,158.4,83%,0.73,0.30,0.15,0.08,29,31,12,6,3
primmie,neon,(1) 5%,21,0.97,200.0,1.00,140.8,71%,0.76,0.14,0.14,0.19,16,16,3,3,4
Akame,breach,(8) 42%,152,1.24,227.4,1.24,132.5,82%,0.81,0.57,0.09,0.05,123,99,87,13,8
Akame,raze,(4) 21%,68,1.10,253.8,1.11,153.9,74%,0.88,0.18,0.21,0.21,60,54,12,14,14
Akame,jett,(2) 11%,38,0.85,193.5,0.90,117.9,55%,0.74,0.05,0.24,0.24,28,31,2,9,9
Akame,kayo,(2) 11%,36,0.87,169.5,0.77,118.5,78%,0.56,0.67,0.00,0.06,20,26,24,0,2
Akame,reyna,(1) 5%,23,1.14,292.0,1.33,182.6,78%,1.04,0.17,0.26,0.13,24,18,4,6,3
Akame,tejo,(1) 5%,16,0.93,200.0,0.92,130.2,75%,0.69,0.38,0.13,0.13,11,12,6,2,2
Akame,fade,(1) 5%,15,1.07,206.0,1.50,136.4,73%,0.80,0.47,0.07,0.13,12,8,7,1,2
Karon,omen,(14) 64%,290,1.08,212.4,1.12,135.8,76%,0.74,0.39,0.08,0.07,216,193,113,24,21
