Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL,Region,Match_ID
Split,VIT,sayf,tejo,272.0,21,13,4,2.0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,VIT,cyvoph,omen,225.0,18,12,11,1.0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,VIT,less,cypher,166.0,13,14,5,1.0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,VIT,kicks,breach,152.0,11,14,7,0.0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,VIT,derke,yoru,161.0,12,18,4,7.0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,GX,westside,cypher,271.0,23,14,3,2.0,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,GX,cloud,tejo,215.0,17,13,5,2.0,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,GX,runner,breach,210.0,16,14,9,1.0,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,GX,purp0,yoru,148.0,10,17,4,4.0,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Split,GX,tomaszy,omen,95.0,5,17,14,2.0,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,VIT,cyvoph,omen,384.0,23,8,7,2.0,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,VIT,derke,yoru,306.0,16,9,6,6.0,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,VIT,less,viper,229.0,14,6,3,3.0,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,VIT,kicks,breach,167.0,10,6,6,2.0,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,VIT,sayf,tejo,112.0,6,6,5,1.0,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,GX,purp0,raze,226.0,11,13,1,1.0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,GX,westside,viper,158.0,7,13,2,0.0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,GX,cloud,fade,147.0,7,14,3,0.0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,GX,runner,vyse,142.0,6,15,6,0.0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Lotus,GX,tomaszy,omen,92.0,4,14,3,0.0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1,EMEA,1_EMEA
Icebox,BBL,lewn,chamber,248.0,13,14,2,7.0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,BBL,jamppi,tejo,164.0,9,13,4,0.0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,BBL,magnum,viper,105.0,7,13,4,1.0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,BBL,sociablee,sova,126.0,5,14,3,0.0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,BBL,profek,clove,85.0,3,16,3,1.0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,KC,elite,killjoy,318.0,20,2,2,0.0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,KC,avez,tejo,306.0,17,9,6,0.0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,KC,marteen,omen,248.0,15,8,4,4.0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,KC,suygetsu,viper,150.0,9,5,3,2.0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Icebox,KC,saadhak,kayo,162.0,9,13,2,1.0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,BBL,lewn,yoru,241.0,20,15,4,5.0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,BBL,magnum,vyse,206.0,18,16,7,2.0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,BBL,jamppi,sova,215.0,17,15,4,3.0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,BBL,profek,astra,181.0,15,15,8,0.0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,BBL,sociablee,chamber,164.0,16,16,2,2.0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,KC,marteen,yoru,196.0,16,16,3,5.0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,KC,suygetsu,astra,210.0,19,18,5,2.0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,KC,elite,vyse,183.0,16,17,6,3.0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,KC,saadhak,harbor,207.0,16,20,9,2.0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Pearl,KC,avez,fade,111.0,10,15,6,0.0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1,EMEA,2_EMEA
Ascent,TH,miniboo,waylay,229.0,14,14,1,5.0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,TH,boo,omen,148.0,9,13,11,0.0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,TH,riens,sova,233.0,14,16,8,0.0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,TH,benjyfishy,cypher,177.0,12,17,3,1.0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,TH,wo0t,kayo,135.0,8,16,7,1.0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,APK,avova,omen,275.0,19,6,16,2.0,True,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
Ascent,APK,molsi,deadlock,221.0,15,13,7,1.0,True,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1,EMEA,3_EMEA
