Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Lotus,C9,neT,deadlock,227,16,16,2,2,False,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,C9,mitch,breach,164,11,15,2,1,False,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,C9,Xeppaa,tejo,183,11,16,3,2,False,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,C9,v1c,omen,152,10,16,3,1,False,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,C9,OXY,raze,149,9,18,1,1,False,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,NRG,s0m,omen,346,24,11,5,4,True,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,NRG,brawk,tejo,237,19,9,7,1,True,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,NRG,Ethan,breach,248,18,14,11,2,True,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,NRG,FiNESSE,vyse,156,10,8,8,0,True,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Lotus,NRG,mada,neon,172,10,15,5,5,True,6‑13,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,C9,Xeppaa,tejo,309,22,9,3,2,True,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,C9,mitch,breach,243,16,12,14,0,True,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,C9,neT,cypher,160,11,9,4,2,True,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,C9,v1c,brimstone,143,10,11,16,2,True,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,C9,OXY,neon,254,15,17,5,4,True,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,NRG,mada,raze,229,15,14,3,2,False,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,NRG,Ethan,breach,220,14,15,6,2,False,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,NRG,s0m,brimstone,169,10,15,16,1,False,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,NRG,brawk,tejo,147,10,16,3,0,False,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,NRG,FiNESSE,cypher,161,9,15,3,3,False,13‑5,2025-03-21,1,https://www.vlr.gg/459517/cloud9-vs-nrg-esports-champions-tour-2025-americas-stage-1-w1
Fracture,KRÜ,adverso,tejo,176,9,13,3,2,False,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,KRÜ,Melser,brimstone,183,11,16,3,2,False,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,KRÜ,keznit,raze,172,8,15,5,1,False,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,KRÜ,Shyy,vyse,120,7,14,1,1,False,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,KRÜ,Mazino,breach,103,5,16,3,0,False,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,LOUD,cauanzin,tejo,290,18,6,7,3,True,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,LOUD,dgzin,neon,276,17,9,5,2,True,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,LOUD,pANcada,brimstone,217,11,7,11,2,True,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,LOUD,tuyz,cypher,243,13,6,12,2,True,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Fracture,LOUD,v1nny,breach,232,15,12,12,1,True,3‑13,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,KRÜ,keznit,yoru,350,20,9,6,6,True,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,KRÜ,Mazino,breach,253,14,8,10,1,True,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,KRÜ,Melser,omen,262,14,6,9,2,True,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,KRÜ,Shyy,cypher,215,14,8,3,1,True,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,KRÜ,adverso,tejo,134,7,7,3,0,True,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,LOUD,pANcada,omen,239,12,13,5,1,False,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,LOUD,dgzin,jett,231,11,14,2,3,False,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,LOUD,tuyz,cypher,131,7,13,2,1,False,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,LOUD,cauanzin,sova,126,6,14,0,0,False,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Haven,LOUD,v1nny,breach,50,2,15,4,0,False,13‑2,2025-03-21,2,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Lotus,G2,trent,tejo,211,17,13,6,2,True,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,G2,valyn,omen,257,20,16,8,3,True,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,G2,leaf,viper,183,16,15,4,2,True,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,G2,jawgemo,yoru,201,17,16,3,4,True,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,G2,JonahP,breach,198,15,18,7,0,True,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,FUR,pryze,fade,222,18,15,8,2,False,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
Lotus,FUR,raafa,breach,167,13,14,8,3,False,13‑10,2025-03-22,3,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
