Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Lotus,DFM,Akame,fade,241,17,15,6,1,False,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,DFM,Meiy,raze,208,15,14,1,1,False,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,DFM,Jinboong,vyse,200,14,15,1,2,False,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,DFM,gyen,viper,183,13,14,3,4,False,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,DFM,Art,omen,106,7,14,2,1,False,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,GE,Kr1stal,tejo,208,14,9,7,2,True,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,GE,kellyS,breach,240,16,13,17,1,True,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,GE,Papi,omen,178,14,11,12,1,True,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,GE,UdoTan,cypher,200,15,15,6,1,True,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Lotus,GE,patrickWHO,yoru,188,13,18,4,6,True,7‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Pearl,DFM,Jinboong,vyse,216,16,14,3,1,False,11‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Pearl,DFM,Meiy,yoru,187,17,16,4,3,False,11‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Pearl,DFM,Akame,chamber,176,14,15,3,5,False,11‑13,2025-03-22,1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
