Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Pearl,XLG,Rarga,yoru,273,21,15,5,,True,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,XLG,Viva,tejo,240,18,10,5,,True,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,XLG,happywei,astra,226,16,11,9,,True,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,XLG,YOU,fade,191,16,9,4,,True,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,XLG,coconut,vyse,94,7,17,3,,True,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,BLG,whzy,neon,209,15,16,6,,False,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,BLG,Knight,tejo,181,14,14,6,,False,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,BLG,nephh,kayo,179,12,14,10,,False,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,BLG,rushia,astra,171,11,17,9,,False,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,BLG,Levius,vyse,137,10,17,3,,False,13‑8,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,XLG,Rarga,waylay,290,22,16,4,,False,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,XLG,happywei,viper,208,15,16,6,,False,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,XLG,YOU,killjoy,174,14,16,2,,False,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,XLG,coconut,gekko,168,14,13,4,,False,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,XLG,Viva,tejo,166,12,17,6,,False,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,BLG,whzy,jett,284,22,19,5,,True,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,BLG,Levius,killjoy,202,18,14,2,,True,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,BLG,nephh,viper,198,14,15,8,,True,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,BLG,Knight,sova,156,13,13,3,,True,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Icebox,BLG,rushia,harbor,156,11,16,8,,True,9‑13,2025-03-13,1,https://www.vlr.gg/450047/xi-lai-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w1
Pearl,TE,Kai,neon,327,29,18,7,,True,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,TE,heybay,killjoy,221,19,14,4,,True,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,TE,FengF,yoru,200,17,20,9,,True,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,TE,LuoK1ng,astra,192,18,15,11,,True,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,TE,Biank,tejo,148,11,18,11,,True,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,AG,HanChe,neon,226,19,21,8,,False,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,AG,K1ra,astra,217,18,17,8,,False,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,AG,player,yoru,194,18,21,4,,False,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,AG,Lsn,sova,185,11,20,14,,False,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Pearl,AG,deLb,killjoy,180,19,15,1,,False,13‑11,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,Kai,yoru,289,22,19,9,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,LuoK1ng,omen,238,23,16,4,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,Biank,breach,157,12,18,9,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,heybay,viper,148,12,18,5,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,FengF,tejo,123,10,18,4,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,K1ra,omen,256,21,18,7,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
