Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Split,VIT,Sayf,tejo,272,21,13,4,2,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,VIT,CyvOph,omen,225,18,12,11,1,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,VIT,Less,cypher,166,13,14,5,1,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,VIT,Kicks,breach,152,11,14,7,0,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,VIT,Derke,yoru,161,12,18,4,7,True,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,GX,westside,cypher,271,23,14,3,2,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,GX,Cloud,tejo,215,17,13,5,2,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,GX,runneR,breach,210,16,14,9,1,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,GX,purp0,yoru,148,10,17,4,4,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Split,GX,tomaszy,omen,95,5,17,14,2,False,13‑9,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,VIT,CyvOph,omen,384,23,8,7,2,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,VIT,Derke,yoru,306,16,9,6,6,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,VIT,Less,viper,229,14,6,3,3,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,VIT,Kicks,breach,167,10,6,6,2,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,VIT,Sayf,tejo,112,6,6,5,1,True,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,GX,purp0,raze,226,11,13,1,1,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,GX,westside,viper,158,7,13,2,0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,GX,Cloud,fade,147,7,14,3,0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,GX,runneR,vyse,142,6,15,6,0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Lotus,GX,tomaszy,omen,92,4,14,3,0,False,13‑2,2025-03-26,1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
Icebox,BBL,LewN,chamber,248,13,14,2,7,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,BBL,Jamppi,tejo,164,9,13,4,0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,BBL,MAGNUM,viper,105,7,13,4,1,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,BBL,sociablEE,sova,126,5,14,3,0,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,BBL,PROFEK,clove,85,3,16,3,1,False,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,KC,Elite,killjoy,318,20,2,2,0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,KC,Avez,tejo,306,17,9,6,0,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,KC,marteen,omen,248,15,8,4,4,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,KC,SUYGETSU,viper,150,9,5,3,2,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Icebox,KC,saadhak,kayo,162,9,13,2,1,True,3‑13,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,BBL,LewN,yoru,241,20,15,4,5,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,BBL,MAGNUM,vyse,206,18,16,7,2,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,BBL,Jamppi,sova,215,17,15,4,3,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,BBL,PROFEK,astra,181,15,15,8,0,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,BBL,sociablEE,chamber,164,16,16,2,2,True,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,KC,marteen,yoru,196,16,16,3,5,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,KC,SUYGETSU,astra,210,19,18,5,2,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,KC,Elite,vyse,183,16,17,6,3,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,KC,saadhak,harbor,207,16,20,9,2,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Pearl,KC,Avez,fade,111,10,15,6,0,False,13‑11,2025-03-26,2,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
Ascent,TH,MiniBoo,waylay,229,14,14,1,5,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
Ascent,TH,Boo,omen,148,9,13,11,0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
Ascent,TH,RieNs,sova,233,14,16,8,0,False,5‑13,2025-03-27,3,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
